id,login,name,country_code,state,city
-1,0xnoone,\N,\N,\N,\N
1,tosch,Sage GmbH,\N,\N,\N
2,jmettraux,\N,jp,Hiroshima Prefecture,Hiroshima
3,SMGNMSKD,\N,\N,\N,\N
4,kennethkalmer,@ValuationUp,za,City of Johannesburg Metropolitan Municipality,Johannesburg
5,weppos,DNSimple,it,Rome,Rome
6,anb,KeyLemon,\N,\N,\N
7,hasimo,medley,jp,Tokyo,Tokyo
8,mschiller,\N,de,Berlin,Berlin
9,ben-biddington,\N,nz,Wellington,Wellington
10,mcollina,@nearform,\N,\N,\N
11,erwin,\N,\N,\N,\N
12,lbt,Merlin Design Ltd,gb,\N,\N
13,nandosola,@GrapheneDB,es,Málaga,Málaga
14,nanounanue,Center for Data Science and Public Policy,us,Cook County,Chicago
15,efficientcloud,\N,gb,England,London
16,jbutkowski,\N,au,QLD,Brisbane
17,miklophone,Hinterland,\N,\N,\N
18,developertown,\N,us,Marion County,Indianapolis
19,rupakg,@serverless,us,Fulton County,Atlanta
